Title,US Gross,WW Gross,Production Budget,Release Date,Release Year ,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Drumline,56398162,56398162,20000000,13-Dec-02,00-10,PG-13,118,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,81,5.2,18165
About Schmidt,65005217,105823486,30000000,13-Dec-02,00-10,R,125,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Alexander Payne,85,7.3,53760
Maid in Manhattan,93932896,154832896,55000000,13-Dec-02,00-10,PG-13,105,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Wayne Wang,39,4.6,30370
The Jimmy Show,703,703,1000000,13-Dec-02,00-10,R,,,,,,,40,5.1,358
The Lord of the Rings: The Two Towers,341784377,926284377,94000000,18-Dec-02,00-10,PG-13,179,New Line,Based on Book/Short Story,Adventure,Fantasy,Peter Jackson,,8.7,326950
25th Hour,13084595,23928503,4500000,19-Dec-02,00-10,R,,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Spike Lee,78,7.9,58781
Antwone Fisher,21078145,23367586,12500000,19-Dec-02,00-10,PG-13,,Fox Searchlight,Based on Real Life Events,Drama,Dramatization,Denzel Washington,79,7.3,13258
The Wild Thornberrys,40108697,60694737,25000000,20-Dec-02,00-10,PG,85,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,,6.7,1104
Gangs of New York,77730500,190400000,97000000,20-Dec-02,00-10,R,168,Miramax,Original Screenplay,Drama,Historical Fiction,Martin Scorsese,75,7.4,113378
Two Weeks Notice,93354918,199043309,60000000,20-Dec-02,00-10,PG-13,110,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Marc Lawrence,42,5.8,35515
Narc,10465659,10465659,7500000,20-Dec-02,00-10,R,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joe Carnahan,83,7.3,19248
Morvern Callar,267194,267194,6000000,20-Dec-02,00-10,R,,,,,,,84,6.4,3831
Pinocchio,3681811,31681811,45000000,25-Dec-02,00-10,G,,Miramax,Based on Book/Short Story,Adventure,Fantasy,Roberto Benigni,,3.5,3215
Catch Me if You Can,164606800,351106800,52000000,25-Dec-02,00-10,PG-13,141,Dreamworks SKG,Based on Book/Short Story,Drama,Dramatization,Steven Spielberg,96,5.7,224
The Pianist,32519322,120000000,35000000,27-Dec-02,00-10,R,149,Focus Features,Based on Real Life Events,Drama,Dramatization,Roman Polanski,,8.5,134516
The Hours,41675994,108775994,25000000,27-Dec-02,00-10,PG-13,115,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Daldry,80,7.6,44618
Nicholas Nickleby,1562800,1562800,10000000,27-Dec-02,00-10,PG,,United Artists,Based on Book/Short Story,Drama,Historical Fiction,,77,7.3,4968
Chicago,170687518,307687518,30000000,27-Dec-02,00-10,PG-13,113,Miramax,Based on Musical/Opera,Musical,Historical Fiction,Rob Marshall,88,7.2,82650
Sonny,17639,17639,4000000,27-Dec-02,00-10,R,,,,,,,23,5.7,1941
Love Lisa,211724,211724,1000000,30-Dec-02,00-10,R,,,,Drama,,,,6.8,4126
Confessions of a Dangerous Mind,16007718,33013805,29000000,31-Dec-02,00-10,R,,Miramax,Based on Book/Short Story,Drama,Dramatization,George Clooney,79,7.1,36258
Just Married,56127162,56127162,19000000,10-Jan-03,00-10,PG-13,95,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Shawn Levy,20,5.1,19508
The Slaughter Rule,13134,13134,500000,10-Jan-03,00-10,R,,,,,,,,6,1136
Kangaroo Jack,66723216,90723216,60000000,17-Jan-03,00-10,PG,89,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,,,4.1,9994
Cidade de Deus,7563397,28763397,3300000,17-Jan-03,00-10,R,,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Katia Lund,,8.8,166897
A Guy Thing,15543862,17430594,20000000,17-Jan-03,00-10,PG-13,,MGM,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,5.5,8147
Amen,274299,274299,14000000,24-Jan-03,00-10,Not Rated,,Kino International,Based on Play,Drama,,Costa-Gavras,,7.4,5416
Darkness Falls,32539681,32539681,7000000,24-Jan-03,00-10,PG-13,86,Sony Pictures,Original Screenplay,Horror,Fantasy,,8,4.6,12771
The Guru,3051221,23788368,11000000,31-Jan-03,00-10,R,,Universal,Original Screenplay,Comedy,Contemporary Fiction,,,5.5,9239
The R.M.,1111615,1111615,500000,31-Jan-03,00-10,PG,,Halestone,Original Screenplay,Comedy,Contemporary Fiction,,64,5.5,449
Final Destination 2,46896664,89626226,26000000,31-Jan-03,00-10,R,90,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47,6.4,35737
Shanghai Knights,60470220,60470220,50000000,7-Feb-03,00-10,PG-13,114,Walt Disney Pictures,Original Screenplay,Adventure,Historical Fiction,David Dobkin,66,6.2,24893
How to Lose a Guy in 10 Days,105807520,177079973,50000000,7-Feb-03,00-10,PG-13,116,Paramount Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Donald Petrie,43,6.1,33866
May,145540,145540,1750000,7-Feb-03,00-10,R,,,,,,,,5.8,41
Daredevil,102543518,179179718,80000000,14-Feb-03,00-10,PG-13,105,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,44,5.5,63574
The Jungle Book 2,47901582,135703599,20000000,14-Feb-03,00-10,G,72,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Steve Trenbirth,19,5.2,2740
All the Real Girls,549666,703020,1000000,14-Feb-03,00-10,R,,Sony Pictures Classics,Original Screenplay,Drama,,David Gordon Green,71,7.1,5632
Gerry,254683,254683,7000000,14-Feb-03,00-10,R,,ThinkFilm,,Drama,,Gus Van Sant,,6.2,8583
Old School,75155000,86325829,24000000,21-Feb-03,00-10,R,91,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,60,7,60477
Gods and Generals,12882934,12923936,55000000,21-Feb-03,00-10,PG-13,,Warner Bros.,,Drama,Historical Fiction,,8,6,7437
Dark Blue,9237470,11933396,15000000,21-Feb-03,00-10,R,,MGM,Original Screenplay,Drama,Contemporary Fiction,Ron Shelton,57,6.6,10881
The Life of David Gale,19694635,28920188,50000000,21-Feb-03,00-10,R,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Alan Parker,20,7.3,37628
Spider,1641788,1641788,10000000,28-Feb-03,00-10,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,David Cronenberg,,7.8,560
Poolhall Junkies,563711,563711,4000000,28-Feb-03,00-10,R,,Gold Circle Films,Original Screenplay,Drama,Contemporary Fiction,,,6.8,5233
Cradle 2 the Grave,34657731,56434942,25000000,28-Feb-03,00-10,R,101,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,Andrzej Bartkowiak,26,5.4,14834
The Day the Earth Stood Still,3700000,3700000,1200000,4-Mar-03,00-10,,,,,,,,94,5.5,51517
Tears of the Sun,43632458,85632458,75000000,7-Mar-03,00-10,R,121,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,34,6.4,34304
Bringing Down the House,132675402,164675402,20000000,7-Mar-03,00-10,PG-13,105,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,34,5.4,16242
Nowhere in Africa,6173485,6173485,6500000,7-Mar-03,00-10,R,,Zeitgeist,Based on Book/Short Story,Drama,Historical Fiction,,,,
Bend it Like Beckham,32543449,76583333,5000000,12-Mar-03,00-10,PG-13,112,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Gurinder Chadha,,6.9,41052
The Hunted,34234008,45016494,55000000,14-Mar-03,00-10,R,94,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,William Friedkin,31,5.8,18941
Agent Cody Banks,47545060,58240458,25000000,14-Mar-03,00-10,PG,102,MGM,Original Screenplay,Comedy,Kids Fiction,,38,5.1,9527
Willard,6882696,6882696,20000000,14-Mar-03,00-10,PG-13,,New Line,Remake,Horror,Contemporary Fiction,,65,6.2,7702
Spun,410241,1022649,4500000,14-Mar-03,00-10,R,,,,,,,,6.6,16011
Boat Trip,8586376,14933713,15000000,21-Mar-03,00-10,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,7,4.7,13258
Dreamcatcher,33685268,75685268,68000000,21-Mar-03,00-10,R,136,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Lawrence Kasdan,30,5.3,34141
Down & Out with the Dolls,58936,58936,1200000,21-Mar-03,00-10,R,,Indican Pictures,,,,,,5.8,75
The Core,31111260,74132631,85000000,28-Mar-03,00-10,PG-13,133,Paramount Pictures,Original Screenplay,Action,Science Fiction,Jon Amiel,42,5.3,27375
Head of State,37788228,38283765,35200000,28-Mar-03,00-10,PG-13,95,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Chris Rock,30,5.1,8447
Raising Victor Vargas,2073984,2811439,800000,28-Mar-03,00-10,R,,Samuel Goldwyn Films,Original Screenplay,Drama,Contemporary Fiction,Peter Sollett,,7.1,3719
Basic,26599248,42598498,50000000,28-Mar-03,00-10,R,98,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,John McTiernan,21,6.3,25960
The Good Thief,3517797,3517797,30000000,2-Apr-03,00-10,R,,Fox Searchlight,Remake,Drama,Contemporary Fiction,Neil Jordan,78,,
A Man Apart,26500000,44114828,36000000,4-Apr-03,00-10,R,110,New Line,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,11,5.7,14953
What a Girl Wants,35990505,35990505,25000000,4-Apr-03,00-10,PG,105,Warner Bros.,Remake,Comedy,Contemporary Fiction,Dennie Gordon,34,5.7,12561
DysFunkTional Family,2255000,2255000,3000000,4-Apr-03,00-10,R,,Miramax,Original Screenplay,Concert/Performance,Factual,,43,5.9,501
Phone Booth,46566212,97837138,11000000,4-Apr-03,00-10,R,81,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,71,7.2,68874
Anger Management,135560942,195660942,56000000,11-Apr-03,00-10,PG-13,106,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Peter Segal,43,6.1,57088
Better Luck Tomorrow,3802390,3809226,250000,11-Apr-03,00-10,R,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Justin Lin,,7.1,5959
"House of 1,000 Corpses",12634962,16829545,7000000,11-Apr-03,00-10,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Rob Zombie,,5.5,3311
The Young Unknowns,58163,58163,800000,11-Apr-03,00-10,R,,Indican Pictures,,,,,,4.5,98
Bulletproof Monk,23010607,23010607,52000000,16-Apr-03,00-10,PG-13,,MGM,Based on Comic/Graphic Novel,Action,Fantasy,,22,5.2,17130
A Mighty Wind,17583468,18552708,6000000,16-Apr-03,00-10,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,88,7.2,13602
Malibu's Most Wanted,34308901,34499204,15000000,18-Apr-03,00-10,PG-13,86,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,,30,4.8,8159
Holes,67383924,72383924,20000000,18-Apr-03,00-10,PG,117,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Andrew Davis,77,7.1,19388
The Real Cancun,3816594,3816594,4000000,25-Apr-03,00-10,R,,New Line,Based on TV,Documentary,Factual,,35,2.3,3211
Confidence,12212417,12212417,15000000,25-Apr-03,00-10,R,,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,James Foley,71,6.8,17111
City of Ghosts,325491,325491,17500000,25-Apr-03,00-10,R,,MGM,Original Screenplay,Drama,Contemporary Fiction,Matt Dillon,,5.9,2880
Identity,52131264,90231264,28000000,25-Apr-03,00-10,R,90,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,James Mangold,62,7.3,57909
Steal (Canadian Release),220944,220944,15000000,25-Apr-03,00-10,Not Rated,,,,,,,,,
People I Know,121972,121972,20000000,25-Apr-03,00-10,R,,Miramax,,,,,,5.5,6305
X2,214949694,407711549,125000000,2-May-03,00-10,PG-13,133,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Bryan Singer,,7.8,112320
The Lizzie McGuire Movie,42734455,55534455,15000000,2-May-03,00-10,PG,94,Walt Disney Pictures,Based on TV,Comedy,Contemporary Fiction,,40,4.7,10199
Owning Mahowny,1011054,1011054,10000000,2-May-03,00-10,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Dramatization,,78,7,5789
Daddy Day Care,104148781,164285587,60000000,9-May-03,00-10,PG,92,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,28,5.5,14944
Les invasions barbares,8460000,8460000,5000000,9-May-03,00-10,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,,,7.8,14322
Dracula: Pages from a Virgin's Diary,39659,84788,1100000,14-May-03,00-10,Not Rated,,,,,,,,7,1013
The Matrix Reloaded,281553689,738576929,127000000,15-May-03,00-10,R,138,Warner Bros.,Original Screenplay,Action,Science Fiction,Andy Wachowski,73,7.1,148874
L'auberge espagnole,3895664,3895664,5900000,16-May-03,00-10,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,,7.3,15696
Bruce Almighty,242704995,485004995,81000000,23-May-03,00-10,PG-13,101,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,48,6.6,92494
Finding Nemo,339714978,867894287,94000000,30-May-03,00-10,G,100,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Andrew Stanton,98,8.2,165006
The Italian Job,106126012,175826012,60000000,30-May-03,00-10,PG-13,111,Paramount Pictures,Remake,Adventure,Contemporary Fiction,F. Gary Gray,73,6.9,76835
Wrong Turn,15417771,28649556,10000000,30-May-03,00-10,R,,20th Century Fox,Original Screenplay,Horror,Contemporary Fiction,,40,5.8,119
2 Fast 2 Furious,127120058,236220058,76000000,6-Jun-03,00-10,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36,5.1,44151
Whale Rider,20779666,38833352,4300000,6-Jun-03,00-10,PG-13,,Palm Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,,90,7.7,21814
Hollywood Homicide,30207785,51107785,75000000,13-Jun-03,00-10,PG-13,116,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,Ron Shelton,30,5.2,16452
Rugrats Go Wild,39402572,55443032,25000000,13-Jun-03,00-10,PG,84,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,40,5,1847
Dumb and Dumberer: When Harry Met Lloyd,26214846,26214846,30000000,13-Jun-03,00-10,PG-13,85,New Line,Original Screenplay,Comedy,Contemporary Fiction,,10,3.3,14813
The Heart of Me,196067,196067,7000000,13-Jun-03,00-10,R,,,,,,,,6.3,1342
Tycoon,121016,121016,5000000,13-Jun-03,00-10,Not Rated,,,,,,,,6,456
Hulk,132177234,245360480,137000000,20-Jun-03,00-10,PG-13,138,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Ang Lee,62,5.7,70844
Alex & Emma,14208384,15358583,30000000,20-Jun-03,00-10,PG-13,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Rob Reiner,11,5.4,6539
From Justin to Kelly,4922166,4922166,12000000,20-Jun-03,00-10,PG,,20th Century Fox,Based on TV,Musical,Contemporary Fiction,,8,1.6,17596
The Legend of Suriyothai,454255,454255,9000000,20-Jun-03,00-10,R,,,,,,,,,
Charlie's Angels: Full Throttle,100814328,227200000,120000000,27-Jun-03,00-10,PG-13,106,Sony Pictures,Based on TV,Action,Contemporary Fiction,Joseph McGinty Nichol,,4.7,43942
28 Days Later...,45064915,82719885,15000000,27-Jun-03,00-10,R,113,Fox Searchlight,Original Screenplay,Horror,Science Fiction,Danny Boyle,89,7.6,103525
Terminator 3: Rise of the Machines,150358296,433058296,170000000,1-Jul-03,00-10,R,109,Warner Bros.,Original Screenplay,Action,Science Fiction,Jonathan Mostow,,6.6,107667
Sinbad: Legend of the Seven Seas,26483452,80767884,60000000,2-Jul-03,00-10,PG,86,Dreamworks SKG,Traditional/Legend/Fairytale,Adventure,Kids Fiction,Tim Johnson,,6.6,7895
"Legally Blonde 2: Red, White & Blonde",90639088,125339088,25000000,2-Jul-03,00-10,PG,95,MGM,Original Screenplay,Comedy,Contemporary Fiction,,,,
Swimming Pool,10130108,22441323,7800000,4-Jul-03,00-10,R,,Focus Features,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,84,6.8,19992
Pirates of the Caribbean: The Curse of the Black Pearl,305411224,655011224,125000000,9-Jul-03,00-10,PG-13,143,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,,8,232719
The League of Extraordinary Gentlemen,66465204,179265204,78000000,11-Jul-03,00-10,PG-13,110,20th Century Fox,Based on Comic/Graphic Novel,Adventure,Super Hero,Stephen Norrington,17,5.5,50710
Northfork,1420578,1445140,1900000,11-Jul-03,00-10,PG-13,,Paramount Vantage,Original Screenplay,Drama,Historical Fiction,Michael Polish,57,6.3,3776
The Journey,19800,19800,500000,11-Jul-03,00-10,Not Rated,,,,,,,,4.4,74
Bad Boys II,138540870,272940870,130000000,18-Jul-03,00-10,R,147,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,24,6.2,58002
Johnny English,28013509,160323929,45000000,18-Jul-03,00-10,PG,87,Universal,Original Screenplay,Comedy,Contemporary Fiction,Oliver Parker,33,5.8,29246
How to Deal,14108518,14108518,16000000,18-Jul-03,00-10,PG-13,,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,,29,5.4,5292
Dirty Pretty Things,8112414,13904766,10000000,18-Jul-03,00-10,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Stephen Frears,,7.5,18554
This Thing of Ours,37227,37227,2000000,18-Jul-03,00-10,Not Rated,,,,Drama,,,,5.2,316
Masked and Anonymous,533344,533344,7500000,24-Jul-03,00-10,PG-13,,Sony Pictures,Original Screenplay,Drama,,Larry Charles,25,5.3,2762
Spy Kids 3-D: Game Over,111760631,167851995,40000000,25-Jul-03,00-10,PG,84,Miramax/Dimension,Original Screenplay,Adventure,Kids Fiction,Robert Rodriguez,,4.1,12352
Lara Croft: Tomb Raider: The Cradle of Life,65653758,156453758,90000000,25-Jul-03,00-10,PG-13,117,Paramount Pictures,Based on Game,Adventure,Contemporary Fiction,Jan De Bont,,5.2,32832
Buffalo Soldiers,353743,353743,15000000,25-Jul-03,00-10,R,,Miramax,Based on Book/Short Story,Comedy,Historical Fiction,,,6.9,13510
Seabiscuit,120277854,148336445,86000000,25-Jul-03,00-10,PG-13,141,Universal,Based on Book/Short Story,Drama,Historical Fiction,Gary Ross,77,7.4,31033
Mondays in the Sun,146402,146402,4000000,25-Jul-03,00-10,R,,,,,,,,,
American Wedding,104354205,126425115,55000000,1-Aug-03,00-10,R,96,Universal,Original Screenplay,Comedy,Contemporary Fiction,Jesse Dylan,56,6.1,52210
Gigli,6087542,7266209,54000000,1-Aug-03,00-10,R,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Martin Brest,6,2.4,29031
Freaky Friday,110222438,160822438,26000000,6-Aug-03,00-10,PG,97,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Mark Waters,88,6.5,29137
S.W.A.T.,116877597,198100000,70000000,8-Aug-03,00-10,PG-13,117,Sony Pictures,Based on TV,Action,Contemporary Fiction,Clark Johnson,48,5.9,43260
American Splendor,6003587,7978681,2000000,15-Aug-03,00-10,R,,Fine Line,Based on Comic/Graphic Novel,Drama,Contemporary Fiction,,94,7.6,23686
Freddy vs. Jason,82622655,114326122,25000000,15-Aug-03,00-10,R,97,New Line,Spin-Off,Horror,Contemporary Fiction,Ronny Yu,41,5.8,39182
Open Range,58328680,68293719,26000000,15-Aug-03,00-10,R,139,Walt Disney Pictures,Based on Book/Short Story,Western,Historical Fiction,Kevin Costner,79,7.5,26438
Thirteen,4601043,6302406,2000000,20-Aug-03,00-10,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Catherine Hardwicke,,7,31482
The Medallion,22108977,22108977,41000000,22-Aug-03,00-10,PG-13,,Sony Pictures,Original Screenplay,Comedy,Fantasy,,18,4.7,10121
Marci X,1646664,1646664,20000000,22-Aug-03,00-10,R,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Richard Benjamin,10,2.4,3449
The Battle of Shaker Heights,280351,280351,1000000,22-Aug-03,00-10,PG-13,,Miramax,Original Screenplay,Comedy,,,43,6.1,2524
My Boss's Daughter,15549702,15549702,14000000,22-Aug-03,00-10,PG-13,,Miramax/Dimension,Original Screenplay,Romantic Comedy,Contemporary Fiction,David Zucker,9,4.3,10919
Civil Brand,254293,254293,500000,29-Aug-03,00-10,R,,Lionsgate,Original Screenplay,Drama,Contemporary Fiction,,,4.9,340
Jeepers Creepers II,35623801,35623801,25000000,29-Aug-03,00-10,R,104,MGM,Original Screenplay,Horror,Fantasy,,,5.3,15975
Dickie Roberts: Former Child Star,22734486,23734486,17000000,5-Sep-03,00-10,PG-13,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,,5.5,6949
The Order,7659747,11559747,35000000,5-Sep-03,00-10,R,,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.9,9119
Once Upon a Time in Mexico,56330657,98156459,29000000,12-Sep-03,00-10,R,102,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,68,6.2,54413
Lost in Translation,44585453,106454000,4000000,12-Sep-03,00-10,R,102,Focus Features,Original Screenplay,Drama,Contemporary Fiction,Sofia Coppola,94,7.9,130998
"The Book of Mormon Movie, Volume 1: The Journey",1660865,1660865,2000000,12-Sep-03,00-10,PG,,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,,,,
Cabin Fever,21158188,30553394,1500000,12-Sep-03,00-10,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Eli Roth,,5.4,28417
Underworld,51970690,95708457,22000000,19-Sep-03,00-10,R,121,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Len Wiseman,30,6.7,65690
Bubba Ho-Tep,1239183,1239183,1000000,19-Sep-03,00-10,R,,Vitagraph Films,Based on Book/Short Story,Comedy,Fantasy,,,7.3,23110
